name,value,date
美国,93,2000
美国,96,2002
美国,112,2004
美国,132,2006
美国,160,2008
美国,204,2010
美国,237,2012
美国,286,2014
美国,368,2016
美国,527,2018
美国,852,2020
美国,1076,2021
欧空局,14,2000
欧空局,14,2002
欧空局,17,2004
欧空局,22,2006
欧空局,30,2008
欧空局,39,2010
欧空局,44,2012
欧空局,50,2014
欧空局,58,2016
欧空局,69,2018
欧空局,83,2020
欧空局,96,2021
卢森堡,6,2000
卢森堡,6,2002
卢森堡,9,2004
卢森堡,10,2006
卢森堡,10,2008
卢森堡,12,2010
卢森堡,14,2012
卢森堡,20,2014
卢森堡,26,2016
卢森堡,28,2018
卢森堡,33,2020
卢森堡,35,2021
英国,5,2000
英国,6,2002
英国,7,2004
英国,10,2006
英国,15,2008
英国,20,2010
英国,27,2012
英国,34,2014
英国,45,2016
英国,50,2018
英国,54,2020
英国,57,2021
俄罗斯,5,2000
俄罗斯,5,2002
俄罗斯,11,2004
俄罗斯,20,2006
俄罗斯,29,2008
俄罗斯,53,2010
俄罗斯,68,2012
俄罗斯,103,2014
俄罗斯,112,2016
俄罗斯,140,2018
俄罗斯,147,2020
俄罗斯,151,2021
加拿大,4,2000
加拿大,4,2002
加拿大,5,2004
加拿大,7,2006
加拿大,9,2008
加拿大,13,2010
加拿大,17,2012
加拿大,21,2014
加拿大,28,2016
加拿大,34,2018
加拿大,38,2020
加拿大,41,2021
德国,3,2000
德国,3,2002
德国,4,2004
德国,4,2006
德国,9,2008
德国,12,2010
德国,15,2012
德国,19,2014
德国,24,2016
德国,26,2018
德国,29,2020
德国,33,2021
巴西,2,2000
巴西,2,2002
巴西,3,2004
巴西,4,2006
巴西,4,2008
巴西,6,2010
巴西,6,2012
巴西,7,2014
巴西,8,2016
巴西,8,2018
巴西,8,2020
巴西,9,2021
日本,2,2000
日本,2,2002
日本,6,2004
日本,9,2006
日本,12,2008
日本,19,2010
日本,24,2012
日本,31,2014
日本,50,2016
日本,61,2018
日本,75,2020
日本,80,2021
中国,2,2000
中国,2,2002
中国,3,2004
中国,5,2006
中国,12,2008
中国,26,2010
中国,50,2012
中国,76,2014
中国,117,2016
中国,175,2018
中国,286,2020
中国,301,2021
西班牙,1,2004
西班牙,4,2006
西班牙,5,2008
西班牙,7,2010
西班牙,8,2012
西班牙,10,2014
西班牙,12,2016
西班牙,15,2018
西班牙,17,2020
西班牙,18,2021
以色列,1,2004
以色列,1,2006
以色列,3,2008
以色列,5,2010
以色列,8,2012
以色列,8,2014
以色列,8,2016
以色列,8,2018
以色列,10,2020
以色列,10,2021
阿根廷,3,2008
阿根廷,5,2010
阿根廷,6,2012
阿根廷,8,2014
阿根廷,10,2016
阿根廷,11,2018
阿根廷,12,2020
阿根廷,14,2021
印度,3,2008
印度,7,2010
印度,11,2012
印度,18,2014
印度,27,2016
印度,41,2018
印度,55,2020
印度,62,2021
沙特阿拉伯,2,2010
沙特阿拉伯,3,2012
沙特阿拉伯,3,2014
沙特阿拉伯,4,2016
沙特阿拉伯,5,2018
沙特阿拉伯,6,2020
沙特阿拉伯,6,2021
韩国,2,2014
韩国,2,2016
韩国,2,2018
韩国,4,2020
韩国,4,2021
阿联酋,1,2014
阿联酋,2,2016
阿联酋,2,2018
阿联酋,2,2020
阿联酋,2,2021
澳大利亚,1,2018
澳大利亚,2,2020
澳大利亚,3,2021
